ID,Latitude,Longitude,time,
1,3854.931,07702.498,224620.745,
2,3854.933,07702.499,224623.745,
3,3854.934,07702.500,224626.745,
4,3854.936,07702.501,224629.745,
5,3854.937,07702.503,224632.745,
6,3854.938,07702.504,224635.745,
7,3854.940,07702.504,224638.745,
8,3854.942,07702.504,224641.745,
9,3854.944,07702.504,224644.745,
10,3854.946,07702.505,224647.745,
11,3854.947,07702.505,224650.745,
12,3854.949,07702.505,224653.745,
13,3854.951,07702.505,224656.745,
14,3854.953,07702.505,224659.745,
15,3854.955,07702.505,224702.745,
16,3854.956,07702.505,224705.745,
17,3854.958,07702.505,224708.745,
18,3854.960,07702.504,224711.745,
19,3854.961,07702.503,224714.745,
20,3854.963,07702.502,224717.745,
21,3854.964,07702.501,224720.745,
22,3854.965,07702.500,224723.745,
23,3854.966,07702.498,224726.745,
24,3854.967,07702.497,224729.745,
25,3854.967,07702.495,224732.745,
26,3854.967,07702.493,224735.745,
27,3854.967,07702.491,224738.745,
28,3854.966,07702.489,224741.745,
29,3854.966,07702.488,224744.745,
30,3854.966,07702.486,224747.745,
31,3854.966,07702.484,224750.745,
32,3854.966,07702.482,224753.745,
33,3854.966,07702.481,224756.745,
34,3854.966,07702.479,224759.745,
35,3854.966,07702.477,224802.745,
36,3854.966,07702.475,224805.745,
37,3854.966,07702.473,224808.745,
38,3854.967,07702.472,224811.745,
39,3854.967,07702.470,224814.745,
40,3854.968,07702.468,224817.745,
41,3854.969,07702.467,224820.745,
42,3854.969,07702.465,224823.745,
43,3854.970,07702.463,224826.745,
44,3854.971,07702.462,224829.745,
45,3854.972,07702.460,224832.745,
46,3854.972,07702.458,224835.745,
47,3854.973,07702.457,224838.745,
48,3854.973,07702.455,224841.745,
49,3854.973,07702.453,224844.745,
50,3854.973,07702.451,224847.745,
51,3854.974,07702.449,224850.745,
52,3854.974,07702.448,224853.745,
53,3854.974,07702.446,224856.745,
54,3854.975,07702.444,224859.745,
55,3854.975,07702.442,224902.745,
56,3854.976,07702.441,224905.745,
57,3854.976,07702.439,224908.745,
58,3854.977,07702.438,224911.745,
59,3854.978,07702.436,224914.745,
60,3854.979,07702.435,224917.745,
61,3854.980,07702.433,224920.745,
62,3854.982,07702.432,224923.745,
63,3854.983,07702.430,224926.745,
64,3854.984,07702.429,224929.745,
65,3854.985,07702.428,224932.745,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
null,null,null,null,
